# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.3301395635591944,2.6865563234911165,89.2264656415897,0,3.0,0.01723364803489818,0.0,0.0,0.0
 0.09029845195146392,2.3303046820278053,2.6987859245022086,89.2264656415897,0.27089535585439173,2.9999999999999996,0.01723364803489818,0.0,0.32363600391938435,0.0
 0.1274925238337406,2.3304661690604735,2.710935651167194,89.23850298238317,0.38247757150122175,2.9999999999999996,0.017609079258390302,0.0,0.43027788067749223,0.0
 0.1558910621468938,2.330624028212606,2.723006138397385,89.25072224526289,0.4676731864406814,3.0000000000000018,0.01799094465179926,0.0,0.5206172381225316,0.0
 0.1797144205030684,2.3307782630396097,2.7349980211040923,89.2631250962931,0.5391432615092052,3.0,0.01837928876571025,0.0,0.6027056041999119,0.0
 0.2006003896353347,2.3309288770968926,2.746911934198628,89.27571318693825,0.6018011689060041,3.0000000000000013,0.01877415490949078,0.0,0.6798782895997572,0.0
 0.21939046714031474,2.3310758739398603,2.7587485125923035,89.2884881526938,0.6581714014209442,2.9999999999999987,0.019175582870058702,0.0,0.7539090416190791,0.0
 0.23658545782967558,2.3312192571239203,2.7705083911964303,89.30145161164506,0.7097563734890268,3.0000000000000018,0.019583607528524997,0.0,0.8258748283117242,0.0
 0.2525122677298205,2.3313590302044798,2.7821922049223193,89.3146051630369,0.7575368031894615,2.9999999999999982,0.0199982618762697,0.0,0.8964873684050213,0.0
 0.2673983923915925,2.3314951967369457,2.793800588681283,89.32795038576067,0.8021951771747775,2.9999999999999964,0.020419574735315155,0.0,0.966245908422745,0.0
 0.28140978528471955,2.331627760276725,2.8053341773846334,89.34148883681496,0.8442293558541586,3.0,0.020847570683905053,0.0,1.0355166143469383,0.0
 0.2946719702724134,2.331756724379224,2.8167936059436802,89.35522204971227,0.8840159108172401,3.0,0.021282271726901395,0.0,1.1045775261081525,0.0
 0.30728265880718536,2.3318820925998507,2.828179509269736,89.36915153285652,0.921847976421556,3.0,0.021723693268648106,0.0,1.1736457127792057,0.0
 0.319319711264209,2.3320038684940116,2.8394925222741123,89.3832787678672,0.957959133792627,3.0000000000000044,0.022171848838318086,0.0,1.2428945311883535,0.0
 0.3308463851989135,2.332122055617114,2.8507332798681206,89.39760520786344,0.9925391555967404,2.9999999999999902,0.022626744750669017,0.0,1.3124650519345071,0.0
 0.3419149220880383,2.3322366575245645,2.8619024169630722,89.41213227570645,1.0257447662641148,3.0,0.023088384377672733,0.0,1.3824738819526492,0.0
 0.3525690738072793,2.3323476777717698,2.8730005684702795,89.42686136219268,1.0577072214218377,2.99999999999999,0.023556764122040573,0.0,1.4530186731028638,0.0
 0.3628459286642652,2.332455119914138,2.8840283693010527,89.44179382420064,1.0885377859927954,3.0000000000000053,0.02403187723320108,0.0,1.524182099134717,0.0
 0.37277726078539364,2.3325589875070745,2.894986454366704,89.45693098284022,1.1183317823561807,2.9999999999999942,0.024513708911722554,0.0,1.5960347684411542,0.0
 0.38239054673350636,2.332659284105988,2.905875458578545,89.47227412145239,1.1471716402005188,2.9999999999999885,0.025002239678749424,0.0,1.6686374283676326,0.0
 0.3917097445448942,2.3327560132662843,2.916696016847887,89.48782448372283,1.1751292336346824,3.0000000000000058,0.025497443953925236,0.0,1.7420426123208936,0.0
 0.4007558997650603,2.3328491785433703,2.927448764086042,89.50358327159402,1.2022676992951806,2.999999999999994,0.02599928993533225,0.0,1.8162959314661278,0.0
 0.40954762328058314,2.332938783492654,2.938134335204321,89.51955164324585,1.228642869841749,3.0,0.026507739042144977,0.0,1.8914370688936268,0.0
 0.41810147264283776,2.333024831669541,2.9487533651140354,89.53573071101135,1.254304417928513,3.0000000000000067,0.027022744921807482,0.0,1.9675005579289349,0.0
 0.42643225971066245,2.3331073266294395,2.9593064887264973,89.55212153921528,1.2792967791319871,3.0000000000000067,0.027544255051398507,0.0,2.0445164065271975,0.0
 0.43455330131682635,2.3331862719277567,2.9697943409530176,89.56872514201717,1.3036599039504788,3.0,0.028072209302638658,0.0,2.1225105916986076,0.0
 0.44247662536133187,2.333261671119898,2.980217556704909,89.58554248122309,1.3274298760839953,2.999999999999993,0.02860654023599545,0.0,2.2015054462303283,0.0
 0.45021314166287496,2.3333335277612712,2.9905767708934814,89.6025744639958,1.3506394249886247,3.000000000000007,0.029147171661288718,0.0,2.281519985708041,0.0
 0.4577727846740714,2.3334018454072845,3.000872618430047,89.61982194061065,1.373318354022214,3.0000000000000075,0.029694020221642442,0.0,2.3625701618805808,0.0
 0.46516463353148196,2.3334666276133427,3.011105734225918,89.6372857021623,1.3954939005944458,3.0000000000000075,0.03024699308312702,0.0,2.444669057145384,0.0
 0.47239701369617154,2.333527877934854,3.0212767531924056,89.65496647816043,1.4171910410885147,3.000000000000023,0.03080598994354256,0.0,2.527827065208836,0.0
 0.4794775835265821,2.3335855999272255,3.0313863102408205,89.67286493421484,1.4384327505797465,3.0000000000000235,0.0313709002846554,0.0,2.6120520130991345,0.0
 0.48641340843089453,2.3336397971458642,3.041435040282475,89.69098166961867,1.4592402252926837,2.999999999999984,0.03194160494254411,0.0,2.6973492674876036,0.0
 0.4932110247129617,2.3336904731461763,3.051423578228681,89.70931721491776,1.4796330741388852,3.000000000000008,0.03251797551479529,0.0,2.7837218167320636,0.0
